Pos,ID,Name,Link,Year,Author,Notes,Source,Type,Logo,R1 points,R1 Total,R1 Diff,R1 %,R1 Pos,R1 EnID,R1 En,R1 Grp,R1 Rep,R2 points,R2 total,R2 Diff,R2 %,R2 Pos,R2 Sup,R2 EnId,R2 En,R2 Grp,R3 points,R3 total,R3 Diff,R3 %,R3 Pos,R3 Sup,R3 EnId,R3 En,R3 Time,R3 Grp,R4 points,R4 total,R4 Diff,R4 %,R4 Pos,R4 Sup,R4 EnId,R4 En,R4 Time,R4 Grp
65,52,Jegva Ótáyt,https://at.tumblr.com/tumbliveleje/archivemedes-orulunkvincent/r85wuve3c884,2022,elizabethbennettdehivjlizzynek,242,Tumblr,text,,33,93,-27,35.48%,2,51,Sikermellény,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,40,Reklámelhelyezés,https://at.tumblr.com/tumbliveleje/ok-neee-j%C3%A9zusom-d-d-d-ddd-egyre-jobb-%C3%A9s/693juhlv93t4,2020,verifakingjuzful,549,Tumblr,thread,,32,105,-41,30.48%,2,39,Kisjószág,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,26,Cicanevek,https://www.tumblr.com/tumbliveleje/188900052339/itt-is-megfuttatom-sz%C3%B3val-lett-k%C3%A9t-ilyen-kis?source=share&_branch_match_id=link-1160321678371194825,2019,paflany,303,Tumblr,thread,,32,125,-61,25.60%,2,25,56-os nők,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,46,Filmcímek,https://at.tumblr.com/tumbliveleje/647216781973405696/d23r6f2eyekz,2021,remetekan,146,Tumblr,thread,,31,88,-26,35.23%,2,45,Hülyenévthread,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,36,We love Budapest cikk,https://at.tumblr.com/tumbliveleje/egy-fikt%C3%ADv-welovebudapest-cikk-by-me/0qhr1464gpmn,2018,99123785,376,Tumblr,text,,31,100,-38,31.00%,2,35,Közmondás mémek,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,48,Balekosz,https://at.tumblr.com/tumbliveleje/balekosz-fekete-d%C3%A1k%C3%B3-terry-blank-mang%C3%B3/937v7mnb4ieo,2021,tenykozleseim,197,Tumblr,thread,,31,109,-47,28.44%,2,47,90-es évek vidék,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4,Pörköltzabáló nyanya,https://www.tumblr.com/tumbliveleje/187980246624/arcom-amikor-az-els%C5%91oszt%C3%A1ly%C3%BA-kocsiban-sem-siker%C3%BCl?source=share&_branch_match_id=link-1160217504497272163,2017,senkisemtudjahogyan,308,Tumblr,text,,31,186,-124,16.67%,2,3,Zoli a pók,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,81,Zámbó Jimmy emlékhonlap,https://at.tumblr.com/tumbliveleje/meg-van-baszva-a-d%C3%A9lut%C3%A1nom/13ztozxo3bow,2018,ciganyolga,598,Tumblr,text,,30,71,-11,42.25%,1,82,Kurwa Union,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,18,Pötyi,https://www.tumblr.com/tumbliveleje/188236266209/v%C3%A9letlen%C3%BCl-seggbedugtam-a-csajomat?source=share&_branch_match_id=link-1160323678588634642,2017,fanokvagyunk,189,Tumblr,text,,30,84,-24,35.71%,2,17,Perszonál kontent,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,85,Weiler Péter,https://at.tumblr.com/tumbliveleje/instantfollow-pappito-foketusz/zo7ch1vpqt2a,2015,klaarg,592,Tumblr,thread,,27,75,-21,36.00%,1,86,Rálépett egy migráns,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,68,Valentino vs Toms,https://www.tumblr.com/tryagain/135907029744/legnagyobb-kar%C3%A1csonyi-prank,2015,jourjean,249,Tumblr,text,,26,75,-23,34.67%,2,67,Földhözbaszott torta,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,49,Banki ügyintézés,https://at.tumblr.com/tumbliveleje/656587179427004416/w5hn8jj262fe,2021,udv-wilson,172,Tumblr,text,,26,78,-26,33.33%,1,50,Országszlogen,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,14,Majdnem belefulladtam,https://www.tumblr.com/tumbliveleje/188500532304/b-majdnem-belefulladtam-a-dun%C3%A1ba?source=share&_branch_match_id=link-1160323943622510125,2017,fanokvagyunk,149,Tumblr,text,,26,115,-63,22.61%,2,13,40 ezret,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,89,Tonhalképű cimbalmosbuzi,https://markoferko.tumblr.com/post/157918002002/a-tonhalk%C3%A9p%C5%B1-cimbalmosbuzi-egyetlen-keres%C3%A9si/amp,2017,markoferko,221,Tumblr,text,,25,79,-29,31.65%,1,90,Esküvő,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,57,Bejgli,https://at.tumblr.com/tumbliveleje/makos-meleg-tejjel-es-amig-utantoltom-a-tejet/a9mrzmswrvtg,2022,gregpostok,209,Tumblr,thread,,25,84,-34,29.76%,1,58,Seggszombat,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6,Megyematrica,https://www.tumblr.com/tumbliveleje/188040361114/v%C3%A9ge-lehet-a-sztr%C3%A1damatric%C3%A1nak?source=share&_branch_match_id=link-1160218325880408004,2017,hofista/viteez,108,Tumblr,text,,25,153,-103,16.34%,2,5,Húsleves,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,44,Pure Fucking Marketing,https://at.tumblr.com/tumbliveleje/pure-fucking-marketing/r2stplocn7c8,2017,elefanii,258,Tumblr,text,,24,96,-48,25.00%,2,43,Tankcsapda mémek,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,91,Ingatlankeresés,https://wilika.net/post/167550382212/sz%C3%B3val-amit-nagyon-ut%C3%A1ltam-lak%C3%A1sh%C3%A1zkeres%C3%A9skor,2017,wi1ika,208,Tumblr,text,,23,64,-18,35.94%,1,92,Tumbli gráf,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,88,Küldj képet,https://at.tumblr.com/tumbliveleje/711225057111851008/fyso37yf85nq,2023,viking84chef,601,Facebook,text,,22,76,-32,28.95%,2,87,Kakithread,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,38,Covid vers,https://at.tumblr.com/tumbliveleje/indulj-el-egy-%C3%BAton-%C3%A9n-is-egy-m%C3%A1sikon-hol/0mnqbcyxsdi6,2020,intimrape,352,Tumblr,thread,,21,99,-57,21.21%,2,37,Kossuth utcák,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,59,Apátok faszát,https://at.tumblr.com/tumbliveleje/705260778652090368/csmti2qyud4m,2023,killer-blue,231,Tumblr,thread,,20,81,-41,24.69%,1,60,Kakis bikini,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,34,Egyrészt a kurva anyádat,https://at.tumblr.com/tumbliveleje/greenteaforbreakfast-malachiefconstant/3w73a129a2b2,2020,the-evil-dad,288,Tumblr,text,,20,106,-66,18.87%,2,33,Actimel,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,74,Leszállás,https://at.tumblr.com/tumbliveleje/709802674540953600/g1whu6sigrmr,2023,rizses-lecso,117,Tumblr,text,,19,57,-19,33.33%,2,73,Goran Bregovic,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,83,Benei traktoron,https://www.tumblr.com/hofstatterbela/41011141991/az-az-ember-akinek-van-egy-traktorja-m%C3%A1r-nem-hal,2012,beneipeter/spamdog,18,Tumblr,text,,18,80,-44,22.50%,1,84,Posts reaching Hunbli,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,24,Bringát flexszel,https://www.tumblr.com/tumbliveleje/188236290339/bring%C3%A1t-flexszel-true-black-friday?source=share&_branch_match_id=link-1160323727137703185,2016,fanokvagyunk,128,Tumblr,text,,18,92,-56,19.57%,2,23,Vágod faszim biztos nem,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,10,Picsafüst,https://www.tumblr.com/tumbliveleje/187979953859?source=share&_branch_match_id=link-1160323024495314528,2019,rejszelde,284,Tumblr,text,,18,109,-73,16.51%,2,9,Zoli bohóc,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,12,Popcorn,https://www.tumblr.com/tumbliveleje/188431524099/arcom-amikor-siker%C3%BCl-t%C3%B6k%C3%A9letesen-kipattogtatni-a?source=share&_branch_match_id=link-1160323813792023731,2019,kozmodiszk/nandras,152,Tumblr,text,,18,119,-83,15.13%,2,11,Faszfütyürű,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,72,Pénzkutya,https://erkolcstelenhajlam.tumblr.com/post/183564699207,2016,szazasertapaprikat,1904880,Tumblr,thread,,4,78,-70,5.13%,2,71,Dinoszaurusz,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
